d_model	depth	heads	lr	run_params	max_val_acc_bin0	max_val_acc_bin1
2	1	1	0.01	-model_type SAN	0.025793650793650792	0.0
2	1	1	0.01	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	1	1	0.01	-model_type SAN-Rel	0.025793650793650792	0.0
2	1	1	0.001	-model_type SAN	0.025793650793650792	0.0
2	1	1	0.001	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	1	1	0.001	-model_type SAN-Rel	0.025793650793650792	0.0
2	1	2	0.01	-model_type SAN	0.025793650793650792	0.0
2	1	2	0.01	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	1	2	0.01	-model_type SAN-Rel	0.025793650793650792	0.0
2	1	2	0.001	-model_type SAN	0.025793650793650792	0.0
2	1	2	0.001	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	1	2	0.001	-model_type SAN-Rel	0.025793650793650792	0.0
2	1	3	0.01	-model_type SAN	2	1	3	0.01	-model_type SAN -pos_encode	2	1	3	0.01	-model_type SAN-Rel	2	1	3	0.001	-model_type SAN	2	1	3	0.001	-model_type SAN -pos_encode	2	1	3	0.001	-model_type SAN-Rel	2	1	4	0.01	-model_type SAN	2	1	4	0.01	-model_type SAN -pos_encode	2	1	4	0.01	-model_type SAN-Rel	2	1	4	0.001	-model_type SAN	2	1	4	0.001	-model_type SAN -pos_encode	2	1	4	0.001	-model_type SAN-Rel	2	2	1	0.01	-model_type SAN	0.025793650793650792	0.0
2	2	1	0.01	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	2	1	0.01	-model_type SAN-Rel	0.025793650793650792	0.0
2	2	1	0.001	-model_type SAN	0.025793650793650792	0.0
2	2	1	0.001	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	2	1	0.001	-model_type SAN-Rel	0.025793650793650792	0.0
2	2	2	0.01	-model_type SAN	0.025793650793650792	0.0
2	2	2	0.01	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	2	2	0.01	-model_type SAN-Rel	0.025793650793650792	0.0
2	2	2	0.001	-model_type SAN	0.025793650793650792	0.0
2	2	2	0.001	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	2	2	0.001	-model_type SAN-Rel	0.025793650793650792	0.0
2	2	3	0.01	-model_type SAN	2	2	3	0.01	-model_type SAN -pos_encode	2	2	3	0.01	-model_type SAN-Rel	2	2	3	0.001	-model_type SAN	2	2	3	0.001	-model_type SAN -pos_encode	2	2	3	0.001	-model_type SAN-Rel	2	2	4	0.01	-model_type SAN	2	2	4	0.01	-model_type SAN -pos_encode	2	2	4	0.01	-model_type SAN-Rel	2	2	4	0.001	-model_type SAN	2	2	4	0.001	-model_type SAN -pos_encode	2	2	4	0.001	-model_type SAN-Rel	2	3	1	0.01	-model_type SAN	0.025793650793650792	0.0
2	3	1	0.01	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	3	1	0.01	-model_type SAN-Rel	0.025793650793650792	0.0
2	3	1	0.001	-model_type SAN	0.025793650793650792	0.0
2	3	1	0.001	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	3	1	0.001	-model_type SAN-Rel	0.025793650793650792	0.0
2	3	2	0.01	-model_type SAN	0.025793650793650792	0.0
2	3	2	0.01	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	3	2	0.01	-model_type SAN-Rel	0.025793650793650792	0.0
2	3	2	0.001	-model_type SAN	0.025793650793650792	0.0
2	3	2	0.001	-model_type SAN -pos_encode	0.025793650793650792	0.0
2	3	2	0.001	-model_type SAN-Rel	0.025793650793650792	0.0
